Wall time,Step,Value
1688730263.5955892,50000,-217.90000915527344
1688730635.837028,100000,-69.15000915527344
1688730993.435669,150000,30.4062442779541
1688731346.3126886,200000,45.22499465942383
1688731729.4706507,250000,63.78749465942383
1688732117.8762984,300000,47.86249542236328
1688732452.5692258,350000,30.66666030883789
1688732837.191145,400000,31.649995803833008
1688733221.574797,450000,36.999996185302734
1688733605.6594365,500000,164.60833740234375
1688733993.787563,550000,87.91874694824219
1688734383.6410658,600000,110.20624542236328
1688734720.781042,650000,101.08332824707031
1688735108.567875,700000,113.90625
1688735484.94221,750000,56.249996185302734
1688735854.9446797,800000,86.04166412353516
1688736242.8688197,850000,111.63749694824219
1688736610.8279154,900000,56.24999237060547
1688736942.8748693,950000,73.77499389648438
1688737309.8701918,1000000,124.55624389648438
1688830873.0220091,1050000,84.98332977294922
1688831247.1013255,1100000,93.625
1688831622.9062614,1150000,101.66874694824219
1688831999.2985473,1200000,41.91666030883789
1688832373.427875,1250000,122.92499542236328
1688832750.9606962,1300000,98.48124694824219
1688833073.208372,1350000,91.29999542236328
1688833447.4819589,1400000,91.26249694824219
1688833821.886076,1450000,45.806243896484375
1688834196.228843,1500000,23.683324813842773
1688834569.7405174,1550000,122.48749542236328
1688834945.512093,1600000,22.91874122619629
1688835268.1633902,1650000,-32.2500114440918
1688835642.6796277,1700000,18.193740844726562
1688836017.274745,1750000,45.893741607666016
1688836391.1047142,1800000,67.72499084472656
1688836766.2224803,1850000,47.281246185302734
1688837141.7224436,1900000,50.62499237060547
1688837476.6146233,1950000,80.6583251953125
1688837861.1165686,2000000,136.0812530517578
