Wall time,Step,Value
1687438735.9568055,50000,-150.02000427246094
1687438889.2296538,100000,-103.41500854492188
1687439046.055431,150000,-132.47500610351562
1687439193.7138112,200000,-101.89000701904297
1687439339.1316829,250000,-118.82917785644531
1687439478.6197815,300000,-80.9850082397461
1687439623.8748147,350000,-92.64000701904297
1687439770.6938915,400000,-109.00501251220703
1687439916.927413,450000,-96.2850112915039
1687440064.7017682,500000,-94.39584350585938
1687440208.4562137,550000,-72.49000549316406
1687440357.3555398,600000,-70.45001220703125
1687440506.1813538,650000,-83.7300033569336
1687440654.2987013,700000,-62.96500778198242
1687440801.6876378,750000,-62.008338928222656
1687440952.4005613,800000,-31.22500228881836
1687441096.3249807,850000,-24.320003509521484
1687441246.1885755,900000,-11.530004501342773
1687441397.110393,950000,-30.815006256103516
1687441546.4963405,1000000,61.58333206176758
1687441703.5627692,1050000,-12.125004768371582
1687441859.1321554,1100000,-10.990004539489746
1687442018.3018243,1150000,-36.31000518798828
1687442168.2400453,1200000,-5.247830390930176
1687442322.2165165,1250000,-17.271432876586914
1687442479.7927387,1300000,0.5649968385696411
1687442630.3008468,1350000,-86.36500549316406
1687442776.1925588,1400000,22.55999755859375
1687442924.2590468,1450000,-26.13750648498535
1687443079.5009828,1500000,32.36499786376953
1687443233.7785997,1550000,2.2399957180023193
1687443386.9265707,1600000,2.804995536804199
1687443529.7957757,1650000,-27.030006408691406
1687443676.9002457,1700000,-1.8416712284088135
1687443829.9429588,1750000,-1.145004153251648
1687443986.1907847,1800000,5.159996032714844
1687444142.2912033,1850000,25.519996643066406
1687444299.62442,1900000,-0.25500378012657166
1687444450.7597857,1950000,29.06666374206543
1687444606.0631638,2000000,17.214996337890625
1687444758.853834,2050000,-7.840003490447998
1687444910.4123347,2100000,-10.580004692077637
1687445061.7509806,2150000,8.789996147155762
1687445204.497674,2200000,3.7249984741210938
1687445354.01708,2250000,-8.755003929138184
1687445502.2582185,2300000,-12.865005493164062
1687445650.313096,2350000,25.999998092651367
1687445798.3147168,2400000,-0.8130479454994202
1687445949.6198058,2450000,28.390474319458008
1687446096.8575711,2500000,37.089996337890625
1687446259.5637236,2550000,24.159996032714844
1687446417.8694327,2600000,24.979997634887695
1687446573.1737418,2650000,33.06666564941406
1687446734.228815,2700000,33.69999694824219
1687446905.421859,2750000,17.374996185302734
1687447055.973138,2800000,-3.120004415512085
1687447206.5741038,2850000,-7.520003795623779
1687447366.3249907,2900000,6.529162406921387
1687447521.755344,2950000,10.939995765686035
1687447674.4033246,3000000,-2.1500039100646973
1687447818.251729,3050000,21.329998016357422
1687447966.8537405,3100000,-10.8200044631958
1687448114.4991639,3150000,-17.670839309692383
1687448262.7799172,3200000,8.689997673034668
1687448410.123318,3250000,12.834996223449707
1687448552.1894991,3300000,8.664997100830078
1687448701.2481925,3350000,14.654995918273926
1687448847.6814134,3400000,30.787498474121094
1687448994.4863644,3450000,21.50499725341797
1687449141.8301597,3500000,5.474996566772461
1687449290.5608404,3550000,-3.8050038814544678
1687449432.23226,3600000,-3.860873222351074
1687449579.0164096,3650000,17.061901092529297
1687449722.527312,3700000,10.564996719360352
1687449865.9672744,3750000,-4.93500280380249
1687450016.9748106,3800000,-9.23000431060791
1687450153.9350295,3850000,0.7541626691818237
1687450296.1072762,3900000,-35.95500564575195
1687450437.26826,3950000,-16.895004272460938
1687450582.7404213,4000000,9.099996566772461
1687450734.3605847,4050000,-28.925004959106445
1687450885.1507013,4100000,41.45833206176758
1687451028.7674532,4150000,-20.065004348754883
1687451182.2600238,4200000,49.26499938964844
1687451331.1412096,4250000,38.939998626708984
1687451475.2300963,4300000,50.869998931884766
1687451619.9019518,4350000,28.404163360595703
1687451760.9318154,4400000,-2.630004405975342
1687451905.6610932,4450000,40.80999755859375
1687452051.70147,4500000,11.769997596740723
1687452197.0308897,4550000,-28.025005340576172
1687452351.8998804,4600000,32.88749694824219
1687452508.0969844,4650000,23.724998474121094
1687452656.218714,4700000,23.09999656677246
1687452805.7485213,4750000,5.919997215270996
1687452954.9209185,4800000,14.30869197845459
1687453104.387406,4850000,23.390472412109375
1687453253.481554,4900000,53.189998626708984
1687453398.300164,4950000,29.299997329711914
1687453547.4222908,5000000,-1.2500041723251343
1687453696.5107036,5050000,7.38332986831665
1687453846.839598,5100000,7.224996566772461
1687453998.0538647,5150000,8.459997177124023
1687454148.3717105,5200000,12.514996528625488
1687454290.2523901,5250000,20.14499855041504
1687454438.1162796,5300000,-0.6458374857902527
1687454584.2717197,5350000,29.84999656677246
1687454733.615358,5400000,-7.445005416870117
1687454882.9289234,5450000,7.38999605178833
1687455028.171416,5500000,28.454998016357422
1687455179.183183,5550000,7.97083044052124
1687455329.6855125,5600000,-6.735003471374512
1687455479.9096625,5650000,17.529996871948242
1687455634.3033488,5700000,-64.35000610351562
1687455800.789,5750000,37.54999923706055
1687455954.1538112,5800000,8.929163932800293
1687456112.5835934,5850000,8.259995460510254
1687456267.9832034,5900000,28.814998626708984
1687456417.1539352,5950000,28.069997787475586
1687456566.7146037,6000000,-12.404353141784668
1687456710.997823,6050000,39.58095169067383
1687456860.6157687,6100000,-19.805004119873047
1687457010.1455643,6150000,18.734996795654297
1687457160.20976,6200000,16.29499626159668
1687457309.063599,6250000,17.891664505004883
1687457461.4189136,6300000,22.459997177124023
1687457603.9635644,6350000,-16.86500358581543
1687457753.159286,6400000,-2.4850029945373535
1687457902.9651515,6450000,10.994997024536133
1687458053.5357633,6500000,10.529163360595703
1687458203.9486296,6550000,27.979997634887695
1687458348.5265708,6600000,50.29499816894531
1687458499.2914448,6650000,28.964996337890625
1687458649.9427829,6700000,3.9099974632263184
1687458802.9971032,6750000,35.31666564941406
1687458952.7805135,6800000,-63.6300048828125
1687459104.4818254,6850000,39.10499954223633
1687459246.0053046,6900000,-2.58500337600708
1687459394.643447,6950000,46.709999084472656
1687459543.4684935,7000000,18.195831298828125
1687459692.6185966,7050000,37.929996490478516
1687459841.5753965,7100000,32.51499557495117
1687459985.4344964,7150000,26.689998626708984
1687460134.28204,7200000,22.373910903930664
1687460283.3001735,7250000,6.847616195678711
1687460432.342974,7300000,-2.80000376701355
1687460583.156693,7350000,26.249996185302734
1687460740.496625,7400000,-1.0000040531158447
1687460885.107725,7450000,-1.4000039100646973
1687461034.0350032,7500000,63.66499710083008
1687461177.7401175,7550000,31.48499870300293
1687461322.9084883,7600000,29.834997177124023
1687461467.948748,7650000,13.699996948242188
1687461609.828923,7700000,47.52083206176758
1687461756.7088096,7750000,4.734995365142822
1687461903.8909538,7800000,55.80500030517578
1687462051.0935383,7850000,37.69999694824219
1687462197.80664,7900000,44.244998931884766
1687462350.8784528,7950000,12.741663932800293
1687462499.8607705,8000000,46.16499710083008
1687462658.3221033,8050000,41.7599983215332
1687462819.0320544,8100000,21.994997024536133
1687462986.1606493,8150000,-7.835002899169922
1687463143.4804814,8200000,-0.5291705131530762
1687463296.3848238,8250000,5.989996433258057
1687463471.4932022,8300000,14.609997749328613
1687463632.7222776,8350000,48.93499755859375
1687463805.5443969,8400000,30.4652156829834
1687463961.8141906,8450000,20.309520721435547
1687464125.7229848,8500000,14.629997253417969
1687464305.190558,8550000,46.334999084472656
1687464494.7668674,8600000,12.089997291564941
1687464684.5310476,8650000,17.716663360595703
1687464875.757167,8700000,22.444997787475586
1687465040.0767252,8750000,20.244997024536133
1687465191.1296234,8800000,38.939998626708984
